key,value
meta:symbol,XAUUSD
meta:news_filter,false
meta:news_required,false
meta:news_available,false
meta:require_h1_alignment,true
meta:structure_mode,1
meta:m5_confirm_mode,1
meta:m1_trigger_mode,0
meta:initial_stop_mode,0
meta:exit_mode,2
meta:initial_balance,50000.00
meta:final_balance,48769.97
m15_bars_in_window,115085
bias_active,105187
h1_confirmed,53157
veto:no_sweep,52656
sweep_detected,501
sweep_m15_level:ASL,124
sweep_m15_level:PRE_NY_L,148
sweep_at:2021.09.06 11:15,1
sweep_level:ASL,121
sweep_level:PRE_NY_L,142
sweep_confirmed_both_timeframes,480
entry_armed_after_m15_m5_sweep,480
m1_zone_found,3038
reset:m1_choch,432
veto:h1:h1_trend,50353
sweep_m15_level:PRE_NY_H,104
sweep_at:2021.09.09 11:30,1
sweep_level:PRE_NY_H,96
sweep_m15_level:PNYH,75
sweep_at:2021.09.09 15:30,1
sweep_level:PNYH,72
m1_trigger:strict_bos,410
stop:sweep,410
orders_placed,36
orders_filled,36
position_cycle_completed,36
sweep_m15_level:ASH,94
sweep_at:2021.09.09 15:45,1
sweep_level:ASH,90
veto:h1:h1_swing_violation,1677
veto:bias:h4_structure_unresolved,9751
sweep_at:2021.09.22 15:30,1
sweep_m15_level:PNYL,85
sweep_at:2021.09.22 21:15,1
sweep_level:PNYL,82
sweep_at:2021.09.24 09:30,1
sweep_at:2021.09.24 11:30,1
veto:sweep_m5_unconfirmed,21
sweep_at:2021.09.24 14:15,1
sweep_at:2021.09.28 05:15,1
sweep_at:2021.10.01 15:30,1
sweep_at:2021.10.04 07:00,1
sweep_m15_level:PDH,33
sweep_at:2021.10.12 10:15,1
sweep_m5_partial_confirmation,1
sweep_level:PDH,33
sweep_at:2021.10.12 15:30,1
sweep_at:2021.10.13 10:00,1
sweep_at:2021.11.04 07:00,1
sweep_at:2021.11.04 07:15,1
sweep_at:2021.11.04 20:15,1
sweep_at:2021.11.05 07:15,1
circuit_breaker:five_losses,1
circuit_breaker:resumed_after_48h,1
sweep_at:2021.11.19 12:15,1
sweep_at:2021.11.24 08:30,1
veto:m15:data_quality,147
sweep_at:2021.12.06 10:30,1
sweep_at:2021.12.08 14:00,1
sweep_at:2021.12.10 15:45,1
sweep_at:2021.12.14 01:45,1
sweep_at:2021.12.17 23:15,1
sweep_at:2021.12.22 13:00,1
sweep_at:2021.12.23 13:30,1
sweep_at:2021.12.27 17:30,1
sweep_at:2022.01.07 12:30,1
sweep_at:2022.01.07 22:30,1
sweep_at:2022.01.10 14:45,1
sweep_at:2022.01.19 09:15,1
sweep_at:2022.01.19 11:00,1
order_rejected:10016,3
reset:entry_timeout,12
sweep_at:2022.01.20 12:00,1
sweep_at:2022.01.24 07:15,1
sweep_at:2022.01.24 11:30,1
sweep_at:2022.01.24 16:30,1
sweep_at:2022.01.25 02:15,1
sweep_at:2022.01.26 09:15,1
sweep_at:2022.02.02 12:30,1
sweep_at:2022.02.02 16:00,1
sweep_at:2022.02.02 17:30,1
sweep_at:2022.02.04 16:15,1
sweep_at:2022.02.04 16:45,1
sweep_at:2022.02.08 07:45,1
sweep_at:2022.02.10 11:00,1
sweep_m15_level:PDL,33
sweep_at:2022.02.11 06:45,1
sweep_level:PDL,32
sweep_at:2022.02.14 09:15,1
sweep_at:2022.02.15 11:00,1
sweep_at:2022.02.18 13:00,1
sweep_at:2022.03.07 16:00,1
sweep_at:2022.03.09 15:15,1
sweep_at:2022.03.09 16:15,1
sweep_at:2022.03.16 14:00,1
sweep_at:2022.03.21 07:00,1
sweep_at:2022.03.24 06:15,1
sweep_at:2022.03.25 07:45,1
sweep_at:2022.04.27 04:15,1
sweep_at:2022.04.28 12:00,1
sweep_at:2022.05.03 22:30,1
sweep_at:2022.05.05 12:00,1
sweep_at:2022.05.05 17:15,1
sweep_at:2022.05.09 21:30,1
sweep_at:2022.05.17 17:30,1
sweep_at:2022.05.18 15:30,1
sweep_at:2022.05.18 15:45,1
sweep_at:2022.05.19 08:45,1
sweep_at:2022.05.20 17:45,1
sweep_at:2022.05.31 09:00,1
sweep_at:2022.05.31 11:45,1
sweep_at:2022.06.03 07:45,1
sweep_at:2022.06.07 07:45,1
sweep_at:2022.06.07 15:30,1
sweep_at:2022.06.08 16:30,1
sweep_at:2022.06.14 10:15,1
sweep_at:2022.06.15 09:15,1
sweep_at:2022.06.16 15:45,1
sweep_at:2022.06.17 17:45,1
sweep_at:2022.06.21 01:15,1
sweep_at:2022.06.21 07:45,1
sweep_at:2022.06.21 09:00,1
sweep_at:2022.06.21 15:00,1
sweep_at:2022.06.21 23:30,1
sweep_at:2022.06.27 16:45,1
sweep_at:2022.06.28 14:30,1
sweep_at:2022.06.29 18:15,1
sweep_at:2022.06.30 11:00,1
sweep_at:2022.06.30 15:45,1
sweep_at:2022.07.01 08:00,1
veto:risk:circuit_breaker,366
sweep_at:2022.07.04 16:00,1
sweep_at:2022.07.07 17:15,1
sweep_at:2022.07.13 13:00,1
sweep_at:2022.07.18 01:30,1
sweep_at:2022.07.22 10:45,1
sweep_at:2022.07.25 04:15,1
sweep_at:2022.07.27 10:15,1
sweep_at:2022.07.29 17:15,1
sweep_at:2022.08.02 10:45,1
sweep_at:2022.08.03 09:00,1
sweep_at:2022.08.10 07:30,1
sweep_at:2022.08.10 08:45,1
sweep_at:2022.08.11 15:45,1
sweep_at:2022.08.11 18:15,1
sweep_at:2022.08.12 16:15,1
sweep_at:2022.08.17 13:15,1
sweep_at:2022.08.29 17:45,1
sweep_at:2022.08.29 18:30,1
sweep_at:2022.08.30 05:00,1
sweep_at:2022.09.06 11:45,1
sweep_at:2022.09.07 16:00,1
sweep_at:2022.09.08 16:45,1
sweep_at:2022.09.14 11:30,1
sweep_at:2022.09.26 10:45,1
