key,value
meta:symbol,XAUUSD
meta:news_filter,false
meta:news_required,false
meta:news_available,false
meta:require_h1_alignment,false
meta:structure_mode,1
meta:m5_confirm_mode,1
meta:m1_trigger_mode,0
meta:initial_stop_mode,0
meta:exit_mode,2
meta:initial_balance,50000.00
meta:final_balance,47407.30
m15_bars_in_window,12856
bias_active,11714
h1_filter_bypassed,11714
h1_confirmed,11714
sweep_detected,646
sweep_m15_level:PRE_NY_L,139
sweep_at:2021.09.06 15:30,1
sweep_level:PRE_NY_L,131
sweep_confirmed_both_timeframes,625
entry_armed_after_m15_m5_sweep,625
m1_zone_found,3011
m1_trigger:strict_bos,467
stop:sweep,467
orders_placed,33
orders_filled,33
position_cycle_completed,33
veto:no_sweep,11068
sweep_m15_level:ASH,157
sweep_at:2021.09.08 15:30,1
sweep_level:ASH,154
sweep_m15_level:PNYH,122
sweep_at:2021.09.09 15:30,1
sweep_level:PNYH,120
sweep_at:2021.09.09 15:45,1
reset:m1_choch,471
veto:bias:h4_structure_unresolved,1130
sweep_m15_level:PNYL,95
sweep_m15_level:PDL,75
sweep_at:2021.09.13 16:15,1
sweep_level:PNYL,94
sweep_level:PDL,74
sweep_at:2021.09.17 15:45,1
sweep_m15_level:PRE_NY_H,144
sweep_at:2021.09.20 15:30,1
sweep_level:PRE_NY_H,136
sweep_at:2021.09.20 16:30,1
sweep_at:2021.09.21 15:45,1
sweep_m15_level:ASL,151
sweep_at:2021.09.22 15:30,1
sweep_level:ASL,145
sweep_at:2021.09.23 17:30,1
reset:entry_deadline,119
sweep_at:2021.09.27 16:15,1
sweep_at:2021.09.29 15:30,1
sweep_at:2021.09.30 16:45,1
sweep_at:2021.10.01 15:30,1
sweep_at:2021.10.04 15:45,1
sweep_at:2021.10.04 16:45,1
sweep_at:2021.10.06 16:15,1
sweep_at:2021.10.06 18:00,1
sweep_m15_level:PDH,74
sweep_at:2021.10.12 15:30,1
sweep_level:PDH,71
sweep_at:2021.10.12 17:45,1
sweep_at:2021.10.13 15:30,1
sweep_at:2021.10.15 15:45,1
order_rejected:10016,6
sweep_at:2021.10.19 15:30,1
sweep_at:2021.10.19 17:45,1
sweep_at:2021.10.20 16:30,1
sweep_at:2021.11.04 18:00,1
sweep_at:2021.11.10 15:45,1
veto:order:no_target,13
sweep_at:2021.11.16 16:30,1
sweep_at:2021.11.16 17:15,1
sweep_at:2021.11.17 16:45,1
sweep_at:2021.11.17 17:15,1
sweep_at:2021.11.19 16:15,1
sweep_at:2021.11.25 16:30,1
sweep_at:2021.12.02 15:45,1
sweep_at:2021.12.02 17:15,1
sweep_at:2021.12.03 16:00,1
sweep_at:2021.12.07 16:15,1
sweep_at:2021.12.08 15:30,1
veto:sweep_m5_unconfirmed,21
sweep_at:2021.12.08 15:45,1
sweep_at:2021.12.10 15:45,1
sweep_at:2021.12.10 16:15,1
sweep_at:2021.12.13 17:15,1
circuit_breaker:five_losses,1
circuit_breaker:resumed_after_48h,1
sweep_at:2021.12.16 15:30,1
sweep_at:2021.12.17 15:45,1
sweep_at:2021.12.21 15:45,1
sweep_at:2021.12.21 16:45,1
sweep_at:2021.12.22 16:15,1
sweep_at:2021.12.22 17:00,1
sweep_at:2021.12.23 15:45,1
sweep_at:2021.12.23 16:45,1
sweep_at:2021.12.27 17:30,1
sweep_at:2021.12.30 17:00,1
sweep_at:2022.01.03 16:45,1
sweep_at:2022.01.04 15:45,1
exit:SESSION_CLOSE,2
sweep_at:2022.01.07 16:30,1
sweep_at:2022.01.10 15:30,1
sweep_at:2022.01.13 15:45,1
sweep_at:2022.01.19 15:45,1
sweep_at:2022.01.24 15:45,1
sweep_at:2022.01.25 17:15,1
sweep_at:2022.01.26 17:00,1
sweep_at:2022.01.31 16:45,1
sweep_at:2022.02.01 15:30,1
sweep_at:2022.02.02 15:30,1
sweep_at:2022.02.02 16:00,1
sweep_at:2022.02.02 17:30,1
sweep_at:2022.02.03 15:45,1
sweep_at:2022.02.03 17:15,1
sweep_at:2022.02.04 16:15,1
sweep_at:2022.02.04 16:45,1
sweep_at:2022.02.09 16:15,1
sweep_at:2022.02.10 15:45,1
sweep_m5_partial_confirmation,7
sweep_at:2022.02.10 16:45,1
sweep_at:2022.03.02 15:45,1
sweep_at:2022.03.07 16:00,1
sweep_at:2022.03.09 16:15,1
sweep_at:2022.03.23 16:15,1
sweep_at:2022.03.25 15:45,1
sweep_at:2022.03.30 15:30,1
sweep_at:2022.03.30 17:00,1
sweep_at:2022.03.31 15:45,1
sweep_at:2022.03.31 17:00,1
sweep_at:2022.04.01 15:30,1
sweep_at:2022.04.01 17:45,1
sweep_at:2022.04.04 15:45,1
sweep_at:2022.04.04 17:00,1
sweep_at:2022.04.05 17:15,1
sweep_at:2022.04.06 16:15,1
sweep_at:2022.04.07 15:30,1
sweep_at:2022.04.14 16:00,1
sweep_at:2022.04.14 16:15,1
sweep_at:2022.04.14 17:15,1
sweep_at:2022.04.19 16:30,1
sweep_at:2022.04.20 15:30,1
sweep_at:2022.04.26 15:30,1
sweep_at:2022.04.26 17:00,1
sweep_at:2022.04.28 16:00,1
sweep_at:2022.05.02 15:30,1
sweep_at:2022.05.04 17:45,1
sweep_at:2022.05.05 17:15,1
sweep_at:2022.05.09 15:30,1
sweep_at:2022.05.11 17:00,1
sweep_at:2022.05.11 17:15,1
sweep_at:2022.05.17 17:30,1
sweep_at:2022.05.18 15:30,1
sweep_at:2022.05.18 15:45,1
sweep_at:2022.05.20 17:45,1
veto:risk:circuit_breaker,415
sweep_at:2022.05.25 16:15,1
sweep_at:2022.05.27 15:30,1
sweep_at:2022.05.30 17:00,1
sweep_at:2022.06.01 16:30,1
sweep_at:2022.06.02 15:30,1
sweep_at:2022.06.03 16:30,1
