key,value
meta:symbol,XAUUSD
meta:news_filter,false
meta:news_required,false
meta:news_available,false
meta:initial_balance,50000.00
meta:final_balance,50407.61
m15_bars_in_window,310
bias_active,214
veto:h1:h1_trend,125
veto:bias:h4_ranging,96
h1_confirmed,87
veto:no_sweep,86
veto:h1:h1_swing_violation,2
sweep_detected,1
sweep_m15_level:PNYH,1
sweep_at:2026.03.20 15:15,1
sweep_level:PNYH,1
sweep_confirmed_both_timeframes,1
entry_armed_after_m15_m5_sweep,1
m1_zone_found,3
m1_trigger:bos,1
orders_placed,1
orders_filled,1
